,day,month,year,dow,hour,min,depICAO,craftType,airline
0,04,12,2022,Sunday,22,55,KPHL,Airbus,American
1,04,12,2022,Sunday,00,38,KMKE,Boeing,Delta Air Lines
2,04,12,2022,Sunday,01,45,KCVG,Boeing,ATI
3,04,12,2022,Sunday,04,57,KLAS,Airbus,Frontier
4,04,12,2022,Sunday,05,51,KSLC,Airbus,American
5,04,12,2022,Sunday,05,05,KDEN,Airbus,American
6,04,12,2022,Sunday,05,54,KPDX,Airbus,American
7,04,12,2022,Sunday,05,44,KPHX,Airbus,American
8,04,12,2022,Sunday,05,59,KLAS,Airbus,American
9,04,12,2022,Sunday,06,07,KSDF,Other,UPS
10,04,12,2022,Sunday,06,18,KONT,Airbus,American
11,04,12,2022,Sunday,06,20,KSFO,Airbus,American
12,04,12,2022,Sunday,06,02,KSJC,Airbus,American
13,04,12,2022,Sunday,06,10,KSMF,Airbus,American
14,04,12,2022,Sunday,06,15,KSEA,Airbus,American
15,04,12,2022,Sunday,06,02,KLAX,Airbus,American
16,04,12,2022,Sunday,06,02,KSAN,Airbus,American
17,04,12,2022,Sunday,02,30,KAGC,Other,Unknown/Private owner
18,04,12,2022,Sunday,02,30,KAGC,Other,Unknown/Private owner
19,04,12,2022,Sunday,05,46,KMEM,Boeing,FedEx
20,04,12,2022,Sunday,05,16,KIND,Boeing,FedEx
21,04,12,2022,Sunday,00,38,KMKE,Boeing,Endeavor Air
22,04,12,2022,Sunday,06,15,KLAS,Airbus,Spirit
23,04,12,2022,Sunday,07,55,KGSO,Airbus,American
24,04,12,2022,Sunday,07,57,KGSP,Airbus,American
25,04,12,2022,Sunday,07,59,KROC,Airbus,American
26,04,12,2022,Sunday,07,47,KSDF,Airbus,American
27,04,12,2022,Sunday,07,00,KLAS,Airbus,American
28,04,12,2022,Sunday,07,54,KATL,Airbus,American
29,04,12,2022,Sunday,07,58,KBUF,Airbus,American
30,04,12,2022,Sunday,07,46,KMCO,Airbus,American
31,04,12,2022,Sunday,07,06,KILM,Airbus,American
32,04,12,2022,Sunday,07,52,KBOS,Airbus,American
33,04,12,2022,Sunday,07,50,KSFO,Airbus,American
34,04,12,2022,Sunday,07,48,KIND,Canadair Regional,American
35,04,12,2022,Sunday,07,01,KDCA,Canadair Regional,American
36,04,12,2022,Sunday,07,56,KPNS,Canadair Regional,American
37,04,12,2022,Sunday,07,36,KAGS,Canadair Regional,American
38,04,12,2022,Sunday,07,58,KGNV,Canadair Regional,American
39,04,12,2022,Sunday,07,58,KMEM,Boeing,American
40,04,12,2022,Sunday,07,58,KFAY,Canadair Regional,American
41,04,12,2022,Sunday,07,08,KRDU,Boeing,American
42,04,12,2022,Sunday,07,56,KOAJ,Embraer,American
43,04,12,2022,Sunday,07,54,KCHA,Embraer,American
44,04,12,2022,Sunday,07,58,KPHF,Embraer,American
45,04,12,2022,Sunday,07,35,KLAX,Airbus,American
46,04,12,2022,Sunday,07,33,KSGF,Embraer,Envoy Air
47,04,12,2022,Sunday,07,38,KCRW,Other,Unknown/Private owner
48,04,12,2022,Sunday,08,09,KCHS,Boeing,American
49,04,12,2022,Sunday,08,06,KSTL,Boeing,American
50,04,12,2022,Sunday,08,08,KBWI,Airbus,American
51,04,12,2022,Sunday,08,15,KBDL,Boeing,American
52,04,12,2022,Sunday,08,21,KPVD,Airbus,American
53,04,12,2022,Sunday,08,28,CYYZ,Airbus,American
54,04,12,2022,Sunday,08,18,KORD,Boeing,American
55,04,12,2022,Sunday,08,20,KPHL,Airbus,American
56,04,12,2022,Sunday,08,02,KCMH,Airbus,American
