,day,month,year,dow,hour,min,arrICAO,craftType,airline
0,04,12,2022,Sunday,00,07,KOAJ,Other,Unknown/Private owner
1,04,12,2022,Sunday,00,34,KBOS,Airbus,Piedmont
2,04,12,2022,Sunday,07,57,KCMH,Other,Unknown/Private owner
3,04,12,2022,Sunday,01,25,KATL,Boeing,Endeavor Air
4,04,12,2022,Sunday,01,25,KATL,Boeing,Delta Air Lines
5,04,12,2022,Sunday,06,00,KATL,Boeing,Delta Air Lines
6,04,12,2022,Sunday,07,29,KAUS,Airbus,American
7,04,12,2022,Sunday,00,34,KBOS,Airbus,American
8,04,12,2022,Sunday,07,44,KBOS,Airbus,American
9,04,12,2022,Sunday,05,40,KBWI,Boeing,Southwest
10,04,12,2022,Sunday,07,57,KCMH,Other,Unknown/Private owner
11,04,12,2022,Sunday,04,08,KCVG,Boeing,ATI
12,04,12,2022,Sunday,07,46,KDCA,Canadair Regional,American
13,04,12,2022,Sunday,07,15,KDEN,Airbus,Frontier
14,04,12,2022,Sunday,05,50,KDFW,Airbus,American
15,04,12,2022,Sunday,07,10,KDFW,Airbus,American
16,04,12,2022,Sunday,05,30,KDTW,Boeing,Delta Air Lines
17,04,12,2022,Sunday,07,05,KEWR,Airbus,United
18,04,12,2022,Sunday,07,30,KFLL,Airbus,American
19,04,12,2022,Sunday,07,34,KHPN,Canadair Regional,American
20,04,12,2022,Sunday,06,10,KIAD,Embraer,United
21,04,12,2022,Sunday,06,30,KIAH,Boeing,United
22,04,12,2022,Sunday,07,46,KJFK,Airbus,American
23,04,12,2022,Sunday,06,18,KJFK,Canadair Regional,Delta Air Lines
24,04,12,2022,Sunday,07,45,KLAS,Airbus,Spirit
25,04,12,2022,Sunday,07,15,KLAX,Airbus,American
26,04,12,2022,Sunday,07,15,KLGA,Airbus,American
27,04,12,2022,Sunday,07,35,KMCO,Airbus,American
28,04,12,2022,Sunday,05,00,KMDW,Boeing,Southwest
29,04,12,2022,Sunday,22,30,KMIA,Boeing,American
30,04,12,2022,Sunday,06,00,KMIA,Airbus,Spirit
31,04,12,2022,Sunday,07,16,KMIA,Boeing,American
32,04,12,2022,Sunday,06,25,KMSP,Boeing,Delta Air Lines
33,04,12,2022,Sunday,07,18,KORD,Boeing,American
34,04,12,2022,Sunday,06,53,KORD,Airbus,United
35,04,12,2022,Sunday,22,40,KPHL,Airbus,American
36,04,12,2022,Sunday,07,29,KPHL,Airbus,American
37,04,12,2022,Sunday,20,53,KRIC,Airbus,American
38,04,12,2022,Sunday,07,15,KSBN,Other,NetJets Aviation
39,04,12,2022,Sunday,22,45,KSDF,Airbus,American
40,04,12,2022,Sunday,22,40,KTYS,Airbus,American
41,04,12,2022,Sunday,07,10,MDPC,Boeing,American
